,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
145,2023-07-13,132.01306521230057,125.335621670928,137.9101037068313,132.01306521230057,132.01306521230057,-0.6916482044732446,-0.6916482044732446,-0.6916482044732446,-0.6916482044732446,-0.6916482044732446,-0.6916482044732446,0.0,0.0,0.0,131.32141700782734
146,2023-07-14,132.16776521112845,125.7490046807027,137.57657929338527,132.16776521112845,132.16776521112845,-0.19672714375816208,-0.19672714375816208,-0.19672714375816208,-0.19672714375816208,-0.19672714375816208,-0.19672714375816208,0.0,0.0,0.0,131.9710380673703
147,2023-07-17,132.63186520761212,126.85733178387282,137.932543927987,132.63186520761212,132.63186520761212,-0.3953043153772611,-0.3953043153772611,-0.3953043153772611,-0.3953043153772611,-0.3953043153772611,-0.3953043153772611,0.0,0.0,0.0,132.23656089223485
148,2023-07-18,132.78656520644,126.45824608450398,138.30522692215092,132.78656520644,132.78656520644,-0.5231811972958532,-0.5231811972958532,-0.5231811972958532,-0.5231811972958532,-0.5231811972958532,-0.5231811972958532,0.0,0.0,0.0,132.26338400914415
149,2023-07-19,132.94126520526788,126.6186251551333,138.320095715341,132.94126520526788,132.94126520526788,-0.7511751080460404,-0.7511751080460404,-0.7511751080460404,-0.7511751080460404,-0.7511751080460404,-0.7511751080460404,0.0,0.0,0.0,132.19009009722186
150,2023-07-20,133.0959652040958,126.90160999377919,138.22150769669364,133.0959652040958,133.0959652040958,-0.6916482044734988,-0.6916482044734988,-0.6916482044734988,-0.6916482044734988,-0.6916482044734988,-0.6916482044734988,0.0,0.0,0.0,132.4043169996223
151,2023-07-21,133.25066520292367,127.05569745832987,138.83238856195933,133.25066520292367,133.25066520292367,-0.1967271437581077,-0.1967271437581077,-0.1967271437581077,-0.1967271437581077,-0.1967271437581077,-0.1967271437581077,0.0,0.0,0.0,133.05393805916557
152,2023-07-24,133.71476519940737,127.61247308724444,139.41146967720275,133.71476519940737,133.71476519940737,-0.3953043153735163,-0.3953043153735163,-0.3953043153735163,-0.3953043153735163,-0.3953043153735163,-0.3953043153735163,0.0,0.0,0.0,133.31946088403384
153,2023-07-25,133.80901853600892,126.99005447778093,138.89266024842055,133.80901853600892,133.80901853600892,-0.523181197295737,-0.523181197295737,-0.523181197295737,-0.523181197295737,-0.523181197295737,-0.523181197295737,0.0,0.0,0.0,133.28583733871318
154,2023-07-26,133.90327187261047,127.73512694432235,139.36991234854617,133.90327187261047,133.90327187261047,-0.7511751080464899,-0.7511751080464899,-0.7511751080464899,-0.7511751080464899,-0.7511751080464899,-0.7511751080464899,0.0,0.0,0.0,133.152096764564
